sep=;
Day;Money;RP;CPUTech;GPUTech;Researchers;OfficeLevel;ProducedCPU;ProducedGPU;SoldCPU;SoldGPU;Revenue;Expenses
92;1449958;10869;3;0;20;3;170;0;170;0;85725;65382
93;1482596;11217;3;0;20;3;170;0;170;0;90888;58250
94;1520695;11565;3;0;20;3;170;0;170;0;90888;52789
95;1567881;11913;3;0;20;3;170;0;170;0;90888;43702
96;1617299;12261;3;0;20;3;170;0;170;0;90888;41470
97;1671050;12609;3;0;20;3;170;0;170;0;90888;37137
98;1719534;12957;3;0;20;3;170;0;170;0;90888;42404
99;1759468;13305;3;0;20;3;170;0;170;0;90888;50954
100;1794523;13653;3;0;20;3;170;0;170;0;90888;55833
101;1833520;14001;3;0;20;3;170;0;170;0;90888;51891
102;1878497;14349;3;0;20;3;170;0;170;0;90888;45911
103;1929534;14697;3;0;20;3;170;0;170;0;90888;39851
104;1973216;15045;3;0;20;3;170;0;170;0;90888;47206
105;2016867;15393;3;0;20;3;170;0;170;0;90888;47237
106;2064230;15741;3;0;20;3;170;0;170;0;90888;43525
107;2110930;16089;3;0;20;3;170;0;170;0;90888;44188
108;2165619;16437;3;0;20;3;170;0;170;0;90888;36199
109;2229624;16785;3;0;20;3;170;0;170;0;90888;26883
110;2291873;17133;3;0;20;3;170;0;170;0;90888;28639
111;2362868;17481;3;0;20;3;170;0;170;0;90888;19893
112;2431152;17829;3;0;20;3;170;0;170;0;85725;17441
113;2501051;18177;3;0;20;3;170;0;170;0;90888;20989
114;2568428;18525;3;0;20;3;170;0;170;0;90888;23511
115;2636591;18873;3;0;20;3;170;0;170;0;90888;22725
116;2710570;19221;3;0;20;3;170;0;170;0;90888;16909
117;2782976;19569;3;0;20;3;170;0;170;0;90888;18482
118;2846241;19917;3;0;20;3;170;0;170;0;90888;27623
119;2914628;20265;3;0;20;3;170;0;170;0;90888;22501
120;2976676;20613;3;0;20;3;170;0;170;0;90888;28840
121;3034277;20961;3;0;20;3;170;0;170;0;90888;33287
122;3087675;21309;3;0;20;3;170;0;170;0;90888;37490
123;3143349;21657;3;0;20;3;170;0;170;0;90888;35214
124;3197132;22005;3;0;20;3;170;0;170;0;90888;37105
