Day;Money;RP;CPUTech;GPUTech;Researchers;OfficeLevel;ProducedCPU;ProducedGPU;SoldCPU;SoldGPU;Revenue;Expenses
92;4194528;13409;3;0;20;4;170;0;170;0;166050;50344
93;4320863;13757;3;0;20;4;170;0;170;0;176377;50042
94;4445989;14105;3;0;20;4;170;0;170;0;176377;51251
95;4567418;14453;3;0;20;4;170;0;170;0;176377;54948
96;4694404;14801;3;0;20;4;170;0;170;0;176377;49391
97;4828203;15149;3;0;20;4;170;0;170;0;176377;42578
98;4956017;15497;3;0;20;4;170;0;170;0;176377;48563
99;4375966;15856;3;0;21;4;170;0;170;0;176377;756428
100;4520042;16215;3;0;21;4;170;0;170;0;176377;32301
101;4664914;16574;3;0;21;4;170;0;170;0;176377;31505
102;4804289;16933;3;0;21;4;170;0;170;0;176377;37002
103;4945148;17292;3;0;21;4;170;0;170;0;176377;35518
104;5082778;17662;3;0;22;4;170;0;170;0;176377;38747
105;5215542;18042;3;0;23;4;170;0;170;0;176377;43613
106;5364840;18432;3;0;24;4;170;0;170;0;176377;27079
107;5508522;18831;3;0;25;4;170;0;170;0;176377;32695
108;5658460;19239;3;0;26;4;170;0;170;0;176377;26439
109;5803334;19656;3;0;27;4;170;0;170;0;176377;31503
110;5955672;20081;3;0;28;4;170;0;170;0;176377;24039
111;6100346;20514;3;0;29;4;170;0;170;0;176377;31703
112;6217595;20955;3;0;30;4;170;0;170;0;166050;48801
113;6348755;21403;3;0;31;4;170;0;170;0;176377;45217
114;6484167;21858;3;0;32;4;170;0;170;0;176377;40965
115;6622476;22320;3;0;33;4;170;0;170;0;176377;38068
116;6762191;22789;3;0;34;4;170;0;170;0;176377;36662
117;6897123;23264;3;0;35;4;170;0;170;0;176377;41445
118;7024536;23745;3;0;36;4;170;0;170;0;176377;48964
119;7153323;24231;3;0;37;4;170;0;170;0;176377;47590
120;7282845;24723;3;0;38;4;170;0;170;0;176377;46855
121;7409259;25220;3;0;39;4;170;0;170;0;176377;49963
122;7529148;722;4;0;40;4;170;0;170;0;176377;56488
123;7830223;1229;4;0;41;4;150;0;150;0;355250;54175
124;7622665;1741;4;0;42;4;150;0;150;0;355250;562808
125;7911063;2257;4;0;43;4;150;0;150;0;355250;66852
126;8192377;2778;4;0;44;4;150;0;150;0;355250;73936
127;8486631;3303;4;0;45;4;150;0;150;0;355250;60996
128;8774744;3832;4;0;46;4;150;0;150;0;355250;67137
129;9066519;4365;4;0;47;4;150;0;150;0;355250;63475
130;9361523;4901;4;0;48;4;150;0;150;0;355250;60246
131;9662239;5441;4;0;49;4;150;0;150;0;355250;54534
132;9968631;5984;4;0;50;4;150;0;150;0;355250;48858
133;10269838;6527;4;0;50;4;150;0;150;0;355250;54043
134;10586271;7070;4;0;50;4;150;0;150;0;355250;38817
135;10907380;7613;4;0;50;4;150;0;150;0;355250;34141
136;11219392;8156;4;0;50;4;150;0;150;0;355250;43238
137;11541171;8699;4;0;50;4;150;0;150;0;355250;33471
138;11862545;9242;4;0;50;4;150;0;150;0;355250;33876
139;12185314;9785;4;0;50;4;150;0;150;0;355250;32481
140;12494360;10328;4;0;50;4;150;0;150;0;355250;46204
141;12808304;10871;4;0;50;4;150;0;150;0;355250;41306
142;13127743;11414;4;0;50;4;150;0;150;0;355250;35811
143;13424578;11957;4;0;50;4;150;0;150;0;335000;38165
144;13737971;12500;4;0;50;4;150;0;150;0;355250;41857
145;14044538;13043;4;0;50;4;150;0;150;0;355250;48683
146;14358906;13586;4;0;50;4;150;0;150;0;355250;40882
147;14660340;14129;4;0;50;4;150;0;150;0;355250;53816
148;14971283;14672;4;0;50;4;150;0;150;0;355250;44307
149;15277709;15215;4;0;50;4;150;0;150;0;355250;48824
150;15590988;15758;4;0;50;4;150;0;150;0;355250;41971
151;15908839;16301;4;0;50;4;150;0;150;0;355250;37399
152;16228346;16844;4;0;50;4;150;0;150;0;355250;35743
153;16540234;17387;4;0;50;4;150;0;150;0;355250;43362
154;16841098;17930;4;0;50;4;150;0;150;0;355250;54386
155;17145033;18473;4;0;50;4;150;0;150;0;355250;51315
156;17445130;19016;4;0;50;4;150;0;150;0;355250;55153
157;17745083;19559;4;0;50;4;150;0;150;0;355250;55297
158;18040350;20102;4;0;50;4;150;0;150;0;355250;59983
159;18335807;20645;4;0;50;4;150;0;150;0;355250;59793
160;18637855;21188;4;0;50;4;150;0;150;0;355250;53202
161;18941265;21731;4;0;50;4;150;0;150;0;355250;51840
162;19259573;22274;4;0;50;4;150;0;150;0;355250;36942
163;19573138;22817;4;0;50;4;150;0;150;0;355250;41685
164;19887019;23360;4;0;50;4;150;0;150;0;355250;41369
165;10200707;23903;4;0;50;5;150;0;150;0;355250;10041562
166;10514693;24446;4;0;50;6;150;0;150;0;355250;41264
167;10833539;24989;4;0;50;6;150;0;150;0;355250;36404
168;11048863;25532;4;0;50;6;150;0;150;0;355250;139926
169;11359227;1075;5;0;50;6;150;0;150;0;355250;44886
170;11617356;1618;5;0;50;6;140;0;140;0;304320;46191
171;11879096;2161;5;0;50;6;140;0;140;0;305328;43588
172;12136397;2704;5;0;50;6;140;0;140;0;306336;49035
173;12386984;3247;5;0;50;6;140;0;140;0;307344;56757
174;12646282;3790;5;0;50;6;140;0;140;0;308352;49054
175;12804298;4333;5;0;50;6;140;0;140;0;309360;151344
176;13069860;4876;5;0;50;6;140;0;140;0;310368;44806
177;11536447;5419;5;0;50;6;140;0;140;0;311376;1844789
178;11799778;5962;5;0;50;6;140;0;140;0;312384;49053
179;12059408;6505;5;0;50;6;140;0;140;0;313392;53762
180;12324246;7048;5;0;50;6;140;0;140;0;314400;49562
181;12585915;7591;5;0;50;6;140;0;140;0;315408;53739
182;12754935;8134;5;0;50;6;140;0;140;0;316416;147396
183;13023758;8677;5;0;50;6;140;0;140;0;317424;48601
184;13297770;9220;5;0;50;6;140;0;140;0;318432;44420
185;13581326;9763;5;0;50;6;140;0;140;0;319440;35884
186;13871534;10306;5;0;50;6;140;0;140;0;320448;30240
187;14172344;10849;5;0;50;6;140;0;140;0;321456;20646
188;14477308;11392;5;0;50;6;140;0;140;0;322464;17500
189;14681127;11935;5;0;50;6;140;0;140;0;323472;119653
190;14988107;12478;5;0;50;6;140;0;140;0;324480;17500
191;15296095;13021;5;0;50;6;140;0;140;0;325488;17500
192;15597241;13564;5;0;50;6;140;0;140;0;326496;25350
193;14443948;14107;5;0;50;6;140;0;140;0;297264;1450557
194;14705190;14650;5;0;50;6;140;0;140;0;304320;43078
195;14977303;15193;5;0;50;6;140;0;140;0;305328;33215
196;15153194;15736;5;0;50;6;140;0;140;0;306336;130445
197;15433683;16279;5;0;50;6;140;0;140;0;307344;26855
198;15721083;16822;5;0;50;6;140;0;140;0;308352;20952
199;16009439;17365;5;0;50;6;140;0;140;0;309360;21004
200;16296261;17908;5;0;50;6;140;0;140;0;310368;23546
201;16585436;18451;5;0;50;6;140;0;140;0;311376;22201
202;16880320;18994;5;0;50;6;140;0;140;0;312384;17500
203;17076212;19537;5;0;50;6;140;0;140;0;313392;117500
204;17373112;20080;5;0;50;6;140;0;140;0;314400;17500
205;17671020;20623;5;0;50;6;140;0;140;0;315408;17500
206;17968620;21166;5;0;50;6;140;0;140;0;316416;18816
207;18268544;21709;5;0;50;6;140;0;140;0;317424;17500
208;18566158;22252;5;0;50;6;140;0;140;0;318432;20818
209;17329698;22795;5;0;50;6;140;0;140;0;319440;1555900
210;17532646;23338;5;0;50;6;140;0;140;0;320448;117500
211;17836602;23881;5;0;50;6;140;0;140;0;321456;17500
212;18139429;24424;5;0;50;6;140;0;140;0;322464;19637
213;18405350;24967;5;0;50;6;140;0;140;0;293232;27311
214;18680638;25510;5;0;50;6;140;0;140;0;304320;29032
215;18953444;26053;5;0;50;6;140;0;140;0;305328;32522
216;19236540;26596;5;0;50;6;140;0;140;0;306336;23240
217;19417442;27139;5;0;50;6;140;0;140;0;307344;126442
218;19703635;27682;5;0;50;6;140;0;140;0;308352;22159
219;19983167;28225;5;0;50;6;140;0;140;0;309360;29828
220;20270769;28772;5;0;51;6;140;0;140;0;310368;22766
221;19420489;29322;5;0;52;6;140;0;140;0;311376;1161656
222;19697149;29872;5;0;52;6;140;0;140;0;312384;35724
223;19979918;30422;5;0;52;6;140;0;140;0;313392;30623
224;20154518;30975;5;0;53;6;140;0;140;0;314400;139800
225;20428813;31531;5;0;54;6;140;0;140;0;315408;41113
226;20710941;32089;5;0;55;6;140;0;140;0;316416;34288
227;20983950;32650;5;0;56;6;140;0;140;0;317424;44415
228;21264346;33213;5;0;57;6;140;0;140;0;318432;38036
229;21551588;33779;5;0;58;6;140;0;140;0;319440;32198
230;21837645;34347;5;0;59;6;140;0;140;0;320448;34391
231;22017282;34918;5;0;60;6;140;0;140;0;321456;141819
232;22298242;35491;5;0;61;6;140;0;140;0;322464;41504
233;22546871;36066;5;0;62;6;140;0;140;0;293232;44603
234;22807052;36643;5;0;63;6;140;0;140;0;304320;44139
235;23067557;37222;5;0;64;6;140;0;140;0;305328;44823
236;23330651;37802;5;0;65;6;140;0;140;0;306336;43242
237;23601187;38384;5;0;66;6;140;0;140;0;307344;36808
238;22608598;38968;5;0;67;6;140;0;140;0;308352;1300941
239;22890044;39554;5;0;68;6;140;0;140;0;309360;27914
240;23170818;40141;5;0;69;6;140;0;140;0;310368;29594
241;23449427;40730;5;0;70;6;140;0;140;0;311376;32767
242;23734424;41320;5;0;71;6;140;0;140;0;312384;27387
243;24012024;41911;5;0;72;6;140;0;140;0;313392;35792
244;23230155;42504;5;0;73;6;140;0;140;0;314400;1096269
245;23416793;43098;5;0;74;6;140;0;140;0;315408;128770
246;23704132;43693;5;0;75;6;140;0;140;0;316416;29077
247;23991999;44289;5;0;76;6;140;0;140;0;317424;29557
248;24286081;44887;5;0;77;6;140;0;140;0;318432;24350
249;24580079;45486;5;0;78;6;140;0;140;0;319440;25442
250;24876677;46086;5;0;79;6;140;0;140;0;320448;23850
251;25172503;46687;5;0;80;6;140;0;140;0;321456;25630
252;25370817;47289;5;0;81;6;140;0;140;0;322464;124150
253;25669989;47892;5;0;82;6;140;0;140;0;323472;24300
254;25970019;48495;5;0;83;6;140;0;140;0;324480;24450
255;26264152;49099;5;0;84;6;140;0;140;0;325488;31355
256;26554149;49704;5;0;85;6;140;0;140;0;326496;36499
257;26843653;50310;5;0;86;6;140;0;140;0;327504;38000
258;27137609;50917;5;0;87;6;140;0;140;0;328512;34556
259;27325276;51524;5;0;88;6;140;0;140;0;329520;141853
260;27620747;52132;5;0;89;6;140;0;140;0;330528;35057
261;27914785;52741;5;0;90;6;140;0;140;0;331536;37498
262;28207117;53350;5;0;91;6;140;0;140;0;332544;40212
263;28508174;53960;5;0;92;6;140;0;140;0;333552;32495
264;28786544;54570;5;0;93;6;140;0;140;0;304320;25950
265;29059248;55181;5;0;94;6;140;0;140;0;305328;32624
266;29229080;55793;5;0;95;6;140;0;140;0;306336;136504
267;29500678;56405;5;0;96;6;140;0;140;0;307344;35746
268;29770513;57018;5;0;97;6;140;0;140;0;308352;38517
269;30039397;57631;5;0;98;6;140;0;140;0;309360;40476
270;29076476;58245;5;0;99;6;140;0;140;0;310368;1273289
271;29348850;58859;5;0;100;6;140;0;140;0;311376;39002
272;29621131;59473;5;0;100;6;140;0;140;0;312384;40103
273;29790173;60087;5;0;100;6;140;0;140;0;313392;144350
274;30065044;60701;5;0;100;6;140;0;140;0;314400;39529
275;30341335;61315;5;0;100;6;140;0;140;0;315408;39117
276;30614733;61929;5;0;100;6;140;0;140;0;316416;43018
277;30889016;62543;5;0;100;6;140;0;140;0;317424;43141
278;31158655;63157;5;0;100;6;140;0;140;0;318432;48793
279;31427459;63771;5;0;100;6;140;0;140;0;319440;50636
280;31592147;64385;5;0;100;6;140;0;140;0;320448;155760
281;31851588;64999;5;0;100;6;140;0;140;0;321456;62015
282;32106956;65613;5;0;100;6;140;0;140;0;322464;67096
283;32358558;66227;5;0;100;6;140;0;140;0;323472;71870
284;32507101;66841;5;0;100;6;140;0;140;0;324480;175937
285;32649121;67455;5;0;100;6;140;0;140;0;325488;183468
286;32785370;68069;5;0;100;6;140;0;140;0;326496;190247
287;32819836;68683;5;0;100;6;140;0;140;0;327504;293038
288;32959377;69297;5;0;100;6;140;0;140;0;328512;188971
289;33095180;69911;5;0;100;6;140;0;140;0;329520;193717
290;31602267;70525;5;0;100;6;140;0;140;0;330528;1823441
291;31743326;71139;5;0;100;6;140;0;140;0;331536;190477
292;31877455;71753;5;0;100;6;140;0;140;0;332544;198415
293;32020737;72367;5;0;100;6;140;0;140;0;333552;190270
294;32060714;72981;5;0;100;6;140;0;140;0;334560;294583
295;32198219;73595;5;0;100;6;140;0;140;0;335568;198063
296;32333912;74209;5;0;100;6;140;0;140;0;336576;200883
297;32472106;74823;5;0;100;6;140;0;140;0;337584;199390
298;32608334;75437;5;0;100;6;140;0;140;0;338592;202364
299;32738343;76051;5;0;100;6;140;0;140;0;339600;209591
300;32877225;76665;5;0;100;6;140;0;140;0;340608;201726
301;32925090;77279;5;0;100;6;140;0;140;0;341616;293751
302;31530139;77893;5;0;100;6;140;0;140;0;342624;1737575
303;31672839;78507;5;0;100;6;140;0;140;0;343632;200932
304;31811991;79121;5;0;100;6;140;0;140;0;344640;205488
305;31954976;79735;5;0;100;6;140;0;140;0;345648;202663
306;32101565;80349;5;0;100;6;140;0;140;0;346656;200067
307;32245528;80963;5;0;100;6;140;0;140;0;347664;203701
308;32298278;81577;5;0;100;6;140;0;140;0;348672;295922
309;32445615;82191;5;0;100;6;140;0;140;0;349680;202343
310;32593641;82805;5;0;100;6;140;0;140;0;350688;202662
311;32747456;83419;5;0;100;6;140;0;140;0;351696;197881
312;32906606;84033;5;0;100;6;140;0;140;0;352704;193554
313;33058208;84647;5;0;100;6;140;0;140;0;353712;202110
314;33183126;85261;5;0;100;6;140;0;140;0;324480;199562
315;33200392;85875;5;0;100;6;140;0;140;0;325488;308222
316;33311888;86489;5;0;100;6;140;0;140;0;326496;215000
317;33424392;87103;5;0;100;6;140;0;140;0;327504;215000
318;33537904;87717;5;0;100;6;140;0;140;0;328512;215000
319;33652424;88331;5;0;100;6;140;0;140;0;329520;215000
320;33772952;88945;5;0;100;6;140;0;140;0;330528;215000
321;33892327;89559;5;0;100;6;140;0;140;0;331536;212161
322;33909871;90173;5;0;100;6;140;0;140;0;332544;315000
323;34028423;90787;5;0;100;6;140;0;140;0;333552;215000
324;33157080;91401;5;0;100;6;140;0;140;0;334560;1205903
325;33277648;92015;5;0;100;6;140;0;140;0;335568;215000
326;33404037;92629;5;0;100;6;140;0;140;0;336576;210187
327;33529244;93243;5;0;100;6;140;0;140;0;337584;212377
328;33652836;93857;5;0;100;6;140;0;140;0;338592;215000
